epoch,sequence_number,network_total_transactions,content_digest,computation_cost,storage_cost,storage_rebate,non_refundable_storage_fee,timestamp_ms,transactions
12,1000039,155429288,AYBQFN8ceJZ2rnaZXo7AQzKoE7TJxGPMcbVYzeDbPW9s,10588777248892,22026354876400,11948569158240,120692617760,1684836632764,146
12,1000040,155429446,Dn3a9gUAgu4NyqpCVRbB8E7KprC2xyn1snvmSym2gLB6,10588953248892,22026687634800,11948749899768,120694443432,1684836633811,158
12,1000041,155429584,8VeVcivNQzBxA2RysAjA5vCcMSezKySQYKFPn2AU3Eem,10589090248892,22026982780800,11948921070768,120696172432,1684836634726,138
12,1000046,155430349,bJM9oxCeuP755VpqTH4Y6q9TfdewHiwvipUtfAU2rBN,10589869248892,22028589884400,11949804681804,120705097796,1684836639752,162
12,1000043,155429892,aRVeQxM7kCJ6LPUjT7yGck4V7bpf1YtzXvssfU5F6ns,10589396248892,22027611878400,11949252653448,120699521752,1684836636742,153
12,1000044,155430040,5mwSPyhkiS7EVb5UHe6nQBNa3F1pAGgbWT1ijTNWut6J,10589543248892,22027914540800,11949414043248,120701151952,1684836637763,148
12,1000045,155430187,kUHrfw4ySrRLJAjWHpAq5gA9b6vPW1NSEjSGtuziscM,10589689248892,22028235245600,11949599735568,120703027632,1684836638758,147
12,1000042,155429739,9gbiuSQkNpQXPXcJpLCmsAsL6yz2dJGj9rqvmKLXyR8g,10589244248892,22027311526400,11949103979208,120698019992,1684836635727,155
12,1000047,155430502,3SMEirgsyHizsYXq3f36Z1sJpx4jKjcX2RCHvE1U9u7u,10590021248892,22028916350000,11949992179884,120706991716,1684836640730,153
12,1000049,155430785,Gs5pRQuwnXy2L1NdhtqZRoRfwmdtBzABmnUWHJV9E2tr,10590302248892,22029477655600,11950271049420,120709808580,1684836642726,136
12,1000048,155430649,5DkmpVseYixMi2K51DGjk7DpeUfCMW9Wr6beiy39bnTR,10590167248892,22029210895600,11950139003220,120708474780,1684836641722,147
12,1000050,155430943,urwGcZegpwsArSaRMhkmvQzVYjgXYjozLiE2aQNMHsD,10590459248892,22029840228800,11950487447184,120711994416,1684836643762,158
12,1000052,155431244,Fzg4oVuYZgwuxgd3qZ4JaxKdrm9prJDAbvdpyqkYfBnS,10590777248892,22030455357600,11950809068088,120715243112,1684836645709,153
12,1000051,155431091,ELBAmBKB5RhBVmJkiKi68REtPFMkBx5AEaQ6SQpkqzat,10590606248892,22030142914000,11950649815104,120713634496,1684836644780,148
12,1000057,155432001,CELZsGyntrbrrwzauqZbAc68LPNgXEHNU1RnMuyHVE1T,10591529248892,22032047550000,11951701790688,120724260512,1684836650708,151
12,1000054,155431538,3pyxM2Sv9Bppx9T7VYaEFkQTKmPYSu4sq8w8u8TcAS1p,10591069248892,22031081149200,11951168038128,120718869072,1684836647714,135
12,1000053,155431403,6GZMpfUJ74u3uzPHrAmgRQKKck97EqfkVJChPku2CbNa,10590935248892,22030791976800,11950999801488,120717169712,1684836646724,159
12,1000055,155431701,5rferNbvw27GnAaZejpuihQT9JsiEcTHx1XRpQNKxecv,10591231248892,22031437855200,11951383224528,120721042672,1684836648733,163
12,1000056,155431850,7UVd2KKAGPvTkCANE1V9ric6BS3dBmRmaTrBVPtLqisv,10591379248892,22031750314000,11951553266928,120722760272,1684836649706,149
12,1000059,155432300,DJBokcKcpmS8LeDTqPAdvs1YCtTK9dVGdUoeh162Ew5B,10591826248892,22032674436000,11952049482252,120727772548,1684836652742,157
12,1000060,155432460,FgYSWGXSSKKxsLoPAgGoiPeo6CZFPeU3GZiJf6iLU5fU,10591994248892,22033026042400,11952250696584,120729805016,1684836653732,160
12,1000058,155432143,7aZCoqsRWzWd9bMTnmWZSRJfzLVqm7njLKc4GpeykZ2V,10591670248892,22032338356400,11951857311768,120725831432,1684836651718,142
12,1000061,155432614,9QAsTW4WXXcfVv1ASNq2fEPtFRhTn7aQV5zS3uUjJggA,10592147248892,22033353252800,11952438397812,120731700988,1684836654721,154
12,1000062,155432760,6rPHrXxLNmfuNF14CpgH4fTFzPo4z4f4Ro6uxnDgttFS,10592292248892,22033653224800,11952594031752,120733273048,1684836655727,146
12,1000067,155433521,H4epvoaiNbhG4DCQDTCqBaAv8uhy46nDK38UAu6AUiwK,10593067248892,22035288387600,11953525630860,120742683140,1684836660751,160
12,1000064,155433075,FvUTuPWgMc7dRqgmPG9BgWTyAD8TV8WHpJTvv15hawKn,10592605248892,22034316028400,11952961594200,120736985800,1684836657818,157
12,1000065,155433217,9QRSuNzbN3fuT243UcGV4B6e9BtB1t45SAuNMSwAQMWu,10592746248892,22034606842400,11953118093400,120738566600,1684836658745,142
12,1000066,155433361,2KahveKVKwk64D8K5ULwS8CczzunPGgU7wrWURVgmPdY,10592889248892,22034926012000,11953312739280,120740532720,1684836659752,144
12,1000063,155432918,B6JBPcdFLEpBgq77wm92DDTB3rSaQVp51xu9re32qZH1,10592449248892,22033983353600,11952771838920,120735069080,1684836656726,158
12,1000070,155434043,7AMEs18jfffgumCcgYu1acDEYAHQksfgxTXNutZTrwZK,10593658248892,22036463264000,11954188886508,120749382692,1684836664072,215
